code,name,country_code,timezone
HAB,Marion County Rankin Fite Airport,US,America/Indiana/Vincennes
HAC,Hachijojima Airport,JP,Asia/Tokyo
HAD,Halmstad Airport,SE,Europe/Stockholm
HAF,Half Moon Bay Airport,US,America/Los_Angeles
HAH,Prince Said Ibrahim International Airport,KM,Indian/Comoro
HAI,Three Rivers Municipal Dr Haines Airport,US,America/Indiana/Knox
HAJ,Hannover Airport,DE,Europe/Berlin
HAK,Haikou Meilan International Airport,CN,Asia/Chongqing
HAL,Halali Airport,NA,Africa/Windhoek
HAM,Hamburg Helmut Schmidt Airport,DE,Europe/Berlin
HAN,Noi Bai International Airport,VN,Asia/Ho_Chi_Minh
HAO,Butler Co Regional Airport - Hogan Field,US,America/Indiana/Vevay
HAQ,Hanimaadhoo Airport,MV,Indian/Maldives
HAS,Ha'il Airport,SA,Asia/Riyadh
HAU,Haugesund Airport,NO,Europe/Oslo
HAV,José Martí International Airport,CU,America/Havana
HAW,Haverfordwest Airport,GB,Europe/London
HBA,Hobart International Airport,AU,Australia/Hobart
HBB,Industrial Airpark,US,Australia/Lindeman
HBD,Habi Airport,PG,Asia/Riyadh
HBE,Borg El Arab International Airport,EG,Africa/Cairo
HBG,Hattiesburg Bobby L Chain Municipal Airport,US,America/Port-au-Prince
HBK,Holbrook Municipal Airport,US,America/Phoenix
HBR,Hobart Regional Airport,US,America/Monterrey
HBU,Bulgan Sum Airport,MN,Asia/Hovd
HBX,Hubli Airport,IN,Asia/Kolkata
HCA,Big Spring Mc Mahon-Wrinkle Airport,US,America/Ojinaga
HCC,Columbia County Airport,US,Asia/Bishkek
HCJ,Hechi Jinchengjiang Airport,CN,Asia/Macau
HCM,Eil Airport,SO,Africa/Mogadishu
HCN,Hengchun Airport,TW,Asia/Taipei
HCQ,Halls Creek Airport,AU,Australia/Perth
HCR,Holy Cross Airport,US,America/Anchorage
HCW,Cheraw Municipal Airport/Lynch Bellinger Field,US,America/Kentucky/Monticello
HDB,Heidelberg Army Helicopter Base,DE,Europe/Zurich
HDD,Hyderabad Airport,PK,Asia/Karachi
HDE,Brewster Field,US,America/Denver
HDF,Heringsdorf Airport,DE,Europe/Berlin
HDG,Handan Airport,CN,Asia/Choibalsan
HDH,Dillingham Airfield,US,Pacific/Honolulu
HDM,Hamadan Airport,IR,Asia/Tehran
HDN,Yampa Valley Airport,US,America/Denver
HDR,Havadarya Airport,IR,Asia/Dubai
HDS,Hoedspruit Air Force Base Airport,ZA,Africa/Johannesburg
HDY,Hat Yai International Airport,TH,Asia/Bangkok
HEA,Herat International Airport,AF,Asia/Kabul
HEB,Hinthada Airport,MM,Asia/Rangoon
HED,Herendeen Bay Airport,US,America/Nome
HEE,Thompson-Robbins Airport,US,America/Indiana/Vincennes
HEG,Heglig Airport,SD,Africa/Juba
HEH,Heho Airport,MM,Asia/Rangoon
HEI,Heide-Büsum Airport,DE,Europe/Berlin
HEK,Heihe Aihui Airport,CN,Asia/Harbin
HEL,Helsinki Vantaa Airport,FI,Europe/Helsinki
HEM,Helsinki Malmi Airport,FI,Europe/Helsinki
HEO,Haelogo Airport,PG,Pacific/Port_Moresby
HER,Heraklion International Nikos Kazantzakis Airport,GR,Europe/Athens
HET,Baita International Airport,CN,Asia/Harbin
HEZ,Hardy-Anders Field / Natchez-Adams County Airport,US,America/Indiana/Vincennes
HFA,Haifa International Airport,IL,Asia/Jerusalem
HFD,Hartford Brainard Airport,US,America/New_York
HFE,Hefei Luogang International Airport,CN,Asia/Shanghai
HFF,Mackall Army Air Field,US,America/Santiago
HFN,Hornafjörður Airport,IS,Atlantic/Reykjavik
HFS,Hagfors Airport,SE,Europe/Stockholm
HFT,Hammerfest Airport,NO,Europe/Oslo
HGA,Egal International Airport,SO,Africa/Mogadishu
HGD,Hughenden Airport,AU,Australia/Brisbane
HGE,Higuerote Airport,VE,America/Caracas
HGH,Hangzhou Xiaoshan International Airport,CN,Asia/Shanghai
HGI,Paloich Airport Heliport,SS,Africa/Khartoum
HGL,Helgoland-Düne Airport,DE,Europe/Berlin
HGN,Mae Hong Son Airport,TH,Asia/Bangkok
HGO,Korhogo Airport,CI,Africa/Abidjan
HGR,Hagerstown Regional Richard A Henson Field,US,America/New_York
HGS,Hastings Airport,SL,Africa/Freetown
HGU,Mount Hagen Kagamuga Airport,PG,Pacific/Port_Moresby
HGZ,Hog River Airport,US,America/Anchorage
HHE,JMSDF Hachinohe Air Base,JP,Asia/Tokyo
HHH,Hilton Head Airport,US,America/Kentucky/Monticello
HHI,Wheeler Army Airfield,US,Pacific/Honolulu
HHN,Frankfurt-Hahn Airport,DE,Europe/Berlin
HHQ,Hua Hin Airport,TH,Asia/Bangkok
HHR,Jack Northrop Field Hawthorne Municipal Airport,US,America/Los_Angeles
HHZ,Hikueru Atoll Airport,PF,Pacific/Tahiti
HIA,Lianshui Airport,CN,Asia/Shanghai
HIB,Range Regional Airport,US,America/Chicago
HID,Horn Island Airport,AU,Australia/Brisbane
HIE,Mount Washington Regional Airport,US,America/Montreal
HIF,Hill Air Force Base,US,America/Boise
HIG,Highbury Airport,AU,Australia/Brisbane
HIJ,Hiroshima Airport,JP,Asia/Tokyo
